COMMENTS;SHELF;PN;DESC;QTY;;COND;SN;TAG INFO;TAG INFO;TAG DATE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3011872;ELECTRICAL CONNECTOR BRACKET;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3024566;SEAT-BY PASS VALVE;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3004509;NUT SPANNER;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3008145;TUBE-ACC GEARBOX BREATHER;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3004183;TUBE-TRANSFER .311X.805;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3004238;RETAINING PLATE;3;EA;OH;NSN;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3006731;COUPLING - SHAFT;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3005665;COUPLING GOV. DRIVE;2;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3018834;COUPLING POWER TURBINE SHAFT;1;EA;OH;2B775;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3004179;CARRIER-SEAL;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3011351;TEE SCAV OIL REAR;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3010536;TUBE-NO.3 BRG OIL;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-3;3003974;TUBE-TRANSFER;1;EA;OH;N/A;TCAC 24-0078 ATLANTIC TURBINES;TCCA 24-0078;01/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-3;3011405;SHAFT-COUPLING;1;EA;OH;NSN;DALLAS AIRMOTIVE 8130;FAA 8130;16/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-3;3004116;COVER ASSY- MAIN SCAVENGE PUMP;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;16/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-3;3023254;STOP-2ND STAGE SUN GEAR;1;EA;OH;NSN;DALLAS AIRMOTIVE 8130;FAA 8130;15/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-3;3023252;ADAPTER-1ST STAGE CARRIER;1;EA;OH;8W780;DALLAS AIRMOTIVE 8130;FAA 8130;20/09/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-3;3026886;TUBE-TRANSFER;1;EA;OH;NSN;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-3;3013227;BRACKET;2;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;16/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-3;3024088;ADAPTER ASSY;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;01/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-3;3004085;CARRIER OIL SEAL;4;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;16/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
