Fld_Company_ID;Company_Old_Id;Fld_Company_Name;Fld_Company_Rating_ID;delete
616;1628;AIR MEDITERRARANEE;;FAUX
3008;;Air Memphis;;FAUX
4478;;air mid;;FAUX
784;447;AIR MIDWEST;;FAUX
319;2136404936;Air Minas;;FAUX
1871;855871086;Air Minded Svc;;FAUX
2074;;AIR MOLDOVA;;FAUX
2450;;Air Namibia;;FAUX
2507;;Air National Corporate;;FAUX
1038;733;AIR NELSON;;FAUX
717;1080;AIR NEW ZEALAND Engineering Servces;;FAUX
5091;;Air Nigeria;;FAUX
1259;537;AIR NIUGINI;;FAUX
157;844;Air North Ltd (Canada);;FAUX
1052;174;Air Norway;;FAUX
1064;233;AIR NOSTRUM;;FAUX
918;-1147792706;Air Nostrum lam, s.a.;;FAUX
1051;173;AIR NOVA;;FAUX
490;2136405026;AIR OMEGA;;FAUX
203;1268;Air One;;FAUX
2425;;AIR ONE FEEDER India;;FAUX
195;1260;AIR OPEN SKY;;FAUX
1719;2136405065;Air Operation;;FAUX
3703;;AIR OPERATIONS INTL;;FAUX
1224;478;AIR OSTRAVA;;FAUX
3375;;Air Pacific Limited;;FAUX
2284;;Air Panama;;FAUX
3078;;Air Paradise International;;FAUX
3319;;AIR PARK;;FAUX
4554;;Air Parts - Dont USE;;FAUX
824;1027439015;Air Parts & Supply comp;;FAUX
1630;1598;Air Parts Int'l Sales;;FAUX
3344;;Air Pink;;FAUX
2480;;Air Polonia;;FAUX
1247;1019;AIR PRECISION-Cobham Avionics;;FAUX
866;-1863084916;Air Quality Aviation;;FAUX
4738;;Air Rarotonga;;FAUX
2823;;AIR RUM;;FAUX
118;285;AIR SAINT MARTIN;;FAUX
1339;102;AIR SAINT-PIERRE;;FAUX
2872;-172050803;Air Salvage International Limited;;FAUX
3077;;Air Senegal international;;FAUX
3590;;AIR SERVICE GABON;;FAUX
365;2136404959;Air Service Mechanic - DHL Reception;;FAUX
196;1261;AIR SERVICE Vamdrup aps;;FAUX
2545;1299398744;AIR SERVICES CLEVELAND;;FAUX
833;588;AIR SEYCHELLES;;FAUX
1439;1018976744;Air Shunt Instruments;;FAUX
1522;333;AIR SICILIA;;FAUX
3311;;Air Slovakia;;FAUX
2274;;AIR SOUTHWEST;;FAUX
862;-1716481334;AIR SRPSKA;;FAUX
3485;;Air Station Aviation;;FAUX
437;1047;AIR SUPPORT;;FAUX
3463;;Air Support International;;FAUX
1191;1076;AIR SUPPORT LTD;;FAUX
2278;;Air Surplus Network;;FAUX
4695;;AIR SWEDEN;;FAUX
3716;;AIR SYSTEMS EQUIPMENT & INTERIORS GmbH -ASE & I G;;FAUX
1351;115;AIR TAHITI;;FAUX
1811;773;AIR TANZANIA;;FAUX
4615;;Air Time Aviation;;FAUX
2522;;Air Tindi;;FAUX
401;870;AIR TOULOUSE Int'l;;FAUX
2433;;AIR TRANSAT;;FAUX
2232;;AIR TRANSPORT AVIONICS;;FAUX
641;1306;Air transport avionics;;FAUX
278;14;AIR TRUCK;;FAUX
1978;1007715343;Air Turquoise;;FAUX
4350;;Air Uganda;;FAUX
4032;;Air Universal Co;;FAUX
591;-1978613980;Air Vallee;;FAUX
1343;106;AIR VANUATU ENG.;;FAUX
4671;;AIR VARDAR;;FAUX
4167;;Air Vendee Investissement;;FAUX
3611;;AIR VIA;;FAUX
297;2136404911;Air Wales;;FAUX
4065;;Air West Coast maintanence;;FAUX
777;439;AIR WISCONSIN;;FAUX
4104;;Air Works India Engineering Private Limited;;FAUX
4889;;Air World LLC.;;FAUX
3312;;Air Zena Georgian Airlines;;FAUX
4907;;Air Zimbabwe;;FAUX
1207;74;AIRBC;;FAUX
2438;;AIRBLUE;;FAUX
3209;;Airborne 2000;;FAUX
4452;;Airborne Composites;;FAUX
1205;63;AIRBORNE INC;;FAUX
376;558;AIRBORNE OF SWEDEN;;FAUX
4501;;Airborne Petroleum Geophysics;;FAUX
637;991127849;AIRBORNE SUPPORT - UK;;FAUX
2506;;Airborne Systems FZE;;FAUX
4035;;Airbound Tech;;FAUX
3929;;AIRBUS FREIGHTER CONVERSION;;FAUX
5040;;Airbus Indu. - Toulouse;;FAUX
1742;1511;AIRBUS Industrie;;FAUX
368;2136404962;AIRBUS Operations SAS;;FAUX
360;2136404954;AIRBUS-INDUSTRIE;;FAUX
414;954;Aircalin - Air Caledonie International;;FAUX
3823;;Aircargonet International GmbH;;FAUX
3587;;AIRCASTLE;;FAUX
3538;;Aircelle;;FAUX
4934;;Airclaims Ltd;;FAUX
4434;;AirClass Airways;;FAUX
1743;1512;AIRCO - Aircraft Inst.&Radio;;FAUX
3270;;Aircraft & Engine Parts LLC;;FAUX
3357;;Aircraft Accessories & Components Co. Ltd;;FAUX
3653;;Aircraft Accessories of Oklahoma;;FAUX
1470;1373;AIRCRAFT BRAKING SYSTEMS;;FAUX
5001;;Aircraft Components Services LTD;;FAUX
3289;;Aircraft Equipment Ohs & Sales Ltd;;FAUX
2980;;Aircraft Global Support;;FAUX
5085;;Aircraft Instrument Canada;;FAUX
3282;;Aircraft Inventory Mgmt. Svc.;;FAUX
